site,plot,grass,trifolium,NAAT,HECO,EUSP,,,
741,1,60,4,8,2,1,,,
741,1,,,138,27,2,,,
741,2,grass,trifolium,ACWR,NAAT,EUSP,HECO,,
741,2,70,1,1,1,1,1,,
741,2,,3,3,2,4,12,,
741,3,grass,trifolium,ACWR,NAAT,EUSP,HECO,,
741,3,80,,1,,1,8,,
741,3,,,3,,12,33,,
741,4,grass,trifolium,ACWR,NAAT,EUSP,HECO,,
741,4,70,,1,1,1,4,,
741,4,,,2,13,8,22,,
741,5,grass,PLER,LACA,HECO,MIDO,ACWR,EUSP,NAAT
741,5,70,1,1,1,4,1,1,1
741,5,,37,8,16,28,3,10,2
742,1,grass,PLER,LACA,TRIF,MIDO,ACWR,EUSP,NAAT
742,1,12,25,1,4,1,1,1,1
742,1,,541,18,11,2,6,6,4
742,2,grass,PLER,LACA,TRIF,MIDO,ACWR,EUSP,NAAT
742,2,60,4,2,1,2,1,1,1
742,2,,168,64,2,14,3,8,13
742,3,grass,PLER,LACA,TRIF,MIDO,ACWR,EUSP,NAAT
742,3,40,4,1,1,2,1,1,1
742,3,,172,1,,,5,,
742,4,grass,PLER,LACA,TRIF,MIDO,ACWR,EUSP,NAAT
742,4,40,12,,1,,1,1,
742,4,,409,,,,5,5,
742,5,grass,PLER,LACA,TRIF,MIDO,ACWR,EUSP,NAAT
742,5,25,12,,,,1,,
742,5,,212,,,,3,,
743,1,grass,LACA,MICA,PLER,EUSP,NAAT,ACWR,
743,1,30,12,2,1,2,1,1,
743,1,,279,79,37,36,13,1,
743,2,grass,LACA,MICA,PLER,EUSP,NAAT,ACWR,
743,2,4,4,1,4,1,4,1,
743,2,,59,2,169,3,87,1,
743,3,grass,LACA,MICA,PLER,EUSP,NAAT,ACWR,
743,3,16,1,2,12,,1,,
743,3,,36,132,556,,,,
743,4,grass,LACA,MICA,PLER,EUSP,NAAT,ACWR,
743,4,8,2,1,4,,,,
743,4,,70,23,201,,,,
743,5,grass,LACA,MICA,PLER,EUSP,NAAT,ACWR,
743,5,4,1,1,12,,,,
743,5,,38,47,660,,,,
